Name,BUURTCODE,Household_size,Food,Green_electricity,nongreen_electricity,Gas,Energy,Water,Car,Train,bustram,Public Transport,Mobility,GWP clothes,GWP household cleaning,GWP footwear,GWP_furniture,GWP_paper,GWP personal care,BoP,Waste per capita,Waste per house,Total per capita
Schildersbuurt-Oost,17,2.5,2639.488568,19.93908839,499.2924755,261.2578838,780.4894478,10.55945687,5931.687078,235.1978853,162.9531079,398.1509932,6329.83807,409.776525,123.7139845,15.86252734,389.0953188,105.0491394,191.7605013,1235.257996,792.5422928,1981.355732,12976.98927
Schildersbuurt-West,15,2.4,2544.730399,20.69226093,518.8523182,291.4581696,831.0027487,10.88083401,5817.341232,224.8398336,155.0679258,379.9077594,6197.248992,376.5954386,103.7472186,15.10680204,304.7135369,102.2723146,187.66807,1090.103381,847.8631868,2034.871648,12708.838
Singels,113,2.7,2824.652015,29.27618095,885.4875704,163.9432665,1078.707018,12.83256932,6622.645668,246.5710786,167.5307288,414.1018074,7036.747476,450.272901,127.0602702,12.915107,685.9112184,153.4981341,175.6939279,1605.351559,589.2495149,1590.97369,14149.26433
Spoorwijk,23,2.4,2545.755367,25.79982425,655.4132222,173.5985032,854.8115498,11.10495582,5841.195535,219.5210592,149.5732836,369.0943428,6210.289879,391.1039208,110.2210967,11.41065706,378.5834722,92.34154946,178.8723566,1162.533053,827.4532071,1985.887697,12770.3825
Stadhoudersplantsoen,42,1.7,1750.303568,16.30402802,685.9217205,338.867453,1041.093202,12.00912294,4283.604651,156.3969344,103.7736654,260.1705998,4543.775251,343.85564,102.4650213,11.22094313,409.1602104,86.74638336,117.4748464,1070.923044,675.452004,1148.268407,9566.372594
Statenkwartier,7,2.1,2165.131044,21.89561884,830.2938456,473.2169507,1325.406415,13.1825085,5083.376082,193.1389288,130.2702874,323.4092162,5406.785299,385.1833112,127.38429,14.8970343,507.3454,109.670355,149.8534697,1294.33386,642.3280434,1348.888891,11553.72802
Sweelinckplein en omgeving,43,1.9,1959.48387,20.62639802,823.0052145,422.8371188,1266.468731,12.35177063,4882.13964,173.4550308,115.6343748,289.0894056,5171.229046,391.9896012,116.2634511,12.57893716,419.0030026,92.12592995,127.173465,1159.134387,616.8849663,1172.081436,10740.74924
Transvaalkwartier-Midden,33,2.3,2474.632893,20.55827107,524.9229522,259.2381883,804.7194115,10.37378408,5475.159154,210.346679,143.4630186,353.8096976,5828.968851,364.1088336,127.078356,14.70904464,265.6087725,85.35869043,171.324588,1028.188285,848.1877382,1950.831798,12097.71502
Transvaalkwartier-Noord,32,2.1,2269.028532,18.64315676,463.4170764,272.2548807,754.3151139,10.51099174,5161.963794,196.9718476,134.9210114,331.892859,5493.856654,345.968742,113.4297514,14.34427254,232.11224,85.21722842,163.2152864,954.2875209,804.0040083,1688.408418,11170.40723
Transvaalkwartier-Zuid,34,2.4,2598.539335,21.0069987,523.2782527,299.4903043,843.7755557,10.50157648,5859.185362,222.1009822,152.6373827,374.7383649,6233.923726,370.7300095,122.8278632,15.01087107,274.64208,95.28462996,180.440683,1058.936137,808.2601431,1939.824344,12685.50067
Uilebomen,13,1.7,1828.78276,18.26295485,612.8518659,101.8560666,732.9708874,11.59605583,4669.290742,154.4691442,101.2318137,255.7009579,4924.9917,336.9574859,83.99677914,11.63702344,416.6229171,95.69903804,112.7045132,1057.617757,710.1878199,1207.319294,9763.278454
Uilennest,75,1.8,1854.724356,19.78997535,844.5999407,395.0446286,1259.434545,12.65592282,4409.842318,165.8332459,109.6810466,275.5142925,4685.356611,362.2014889,104.7774647,12.92950852,451.2306762,91.7681591,130.5778121,1153.48511,639.9644046,1151.935928,10117.59247
Valkenboskwartier,55,1.8,1921.33408,18.79403805,579.4930386,357.1324607,955.4195374,10.93183854,4732.13137,166.4915115,111.4143114,277.9058229,5010.037193,344.1863984,101.7059102,11.78795681,428.5376744,55.89301828,99.60810991,1041.719068,667.3647683,1201.256583,10140.6983
Van Hoytemastraat en omgeving,79,2.3,2340.903382,23.56448725,918.2786358,510.2429153,1452.086038,13.59066651,5556.616688,205.0951652,136.583052,341.6782172,5898.294906,406.1498058,134.6271775,13.82738579,594.5012331,121.7119332,166.5275255,1437.345061,616.9823688,1419.059448,12561.2795
Van Stolkpark en Scheveningse Bosjes,5,2,2070.697034,19.03844532,886.4519894,482.110842,1387.601277,12.37289718,4640.969722,190.1081847,129.3370316,319.4452163,4960.414938,408.1352656,125.4137657,14.23054567,463.8890858,101.1232827,142.3731393,1255.165085,676.789086,1353.578172,11039.8294
"Venen, Oorden en Raden",87,2.1,2238.510687,18.06338709,480.8660182,296.9123588,795.8417641,10.57854202,5050.74566,192.6721115,130.9925387,323.6646502,5374.410311,355.0743758,130.0334094,9.721582137,246.7437454,77.73304636,154.4386579,973.7448168,834.0553089,1751.516149,11144.60227
Visserijbuurt,4,1.9,2013.221845,19.41301849,658.359822,375.3569119,1053.129752,11.92201143,4676.425285,177.2702081,119.0463531,296.3165612,4972.741847,380.7260172,110.2460296,12.23859554,474.4006878,92.8907666,112.9715313,1183.473628,610.7463016,1160.417973,10394.90706
Vissershaven,2,1.9,2013.985765,18.08116929,620.8977029,272.016809,910.9956813,11.12464978,4702.349216,174.0627041,116.0659016,290.1286057,4992.477821,390.3732926,120.7723435,11.23187968,420.8683059,69.0925104,100.2271639,1112.565496,609.6438708,1158.323355,10199.47277
Vlietzoom-Oost,116,2.2,2275.061679,34.10791468,1422.065899,689.80824,2145.982054,13.11397685,5894.737266,226.6589844,156.6943645,383.3533489,6278.090614,459.0514304,93.20867695,14.50094509,539.2182598,135.946031,168.2746877,1410.200031,658.1211972,1447.866634,13570.31499
Vlietzoom-West,106,2,2021.802032,29.12592704,1121.960426,560.752,1711.838353,12.63284269,4892.339212,178.9999997,121.5462822,300.5462819,5192.885494,414.1603664,100.5471713,12.54657314,483.286351,112.3671048,149.226549,1272.134116,715.0974589,1430.194918,11641.48776
Vogelwijk,9,2.6,2710.736184,28.4034276,1123.006643,604.194065,1755.604135,13.85949464,5970.390631,237.6785308,161.6195161,399.2980469,6369.688679,467.3211933,155.4763605,16.9651501,624.4706151,146.5976004,185.1080414,1595.938961,568.8557653,1479.02499,13924.85244
Voorhout,12,1.4,1526.421942,18.6833096,653.1072869,282.164192,953.9547884,12.28920793,3899.210293,134.7990094,90.6385103,225.4375197,4124.647813,288.9517945,63.39939656,9.902230989,353.4815228,81.17496211,102.1440783,899.0539852,862.3709241,1207.319294,8723.68703
Vruchtenbuurt,53,2.2,2299.905058,20.52699855,712.1850483,383.683881,1116.395928,12.16287048,5388.704356,200.2547476,133.881687,334.1364346,5722.840792,403.4310777,133.2660099,14.4174088,527.6699347,114.9683188,151.3500204,1345.10277,634.0603627,1394.932798,11891.34022
