"TIME","GEO","CROPS","STRUCPRO","Value","Flag and Footnotes"
"2015","France","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","7 114.49",""
"2015","Croatia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","171.18",""
"2015","Italy","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","1 355.41",""
"2015","Cyprus","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","95.92",""
"2015","Latvia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","203.60",""
"2015","Lithuania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","391.64",""
"2015","Luxembourg","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","12.97",""
"2015","Hungary","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","452.01",""
"2015","Malta","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","8.02",""
"2015","Netherlands","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","6 651.69",""
"2015","Austria","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","536.47",""
"2015","Poland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","6 151.80",""
"2015","Portugal","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","486.79",""
"2015","Romania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","2 699.68",""
"2015","Slovenia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","91.04",""
"2015","Slovakia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","144.62",""
"2015","Finland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","532.10",""
"2015","Sweden","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","802.50",""
"2015","United Kingdom","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","5 598.00",""
"2015","Iceland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","0.00","n"
"2015","Norway","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","305.20",""
"2015","Switzerland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","365.17",""
"2015","Montenegro","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","27.19",""
"2015","North Macedonia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","190.41",""
"2015","Albania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","245.00",""
"2015","Serbia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","639.41",""
"2015","Turkey","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","4 763.00",""
"2015","Bosnia and Herzegovina","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","351.22","e"
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","70.70",""
"2016","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","55 936.64",""
"2016","European Union - 27 countries (from 2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","50 563.64",""
"2016","European Union - 28 countries (2013-2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","55 936.64",""
"2016","Belgium","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","3 404.64",""
"2016","Bulgaria","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","127.18",""
"2016","Czechia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","699.61",""
"2016","Denmark","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","1 954.00",""
"2016","Germany (until 1990 former territory of the FRG)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","10 772.10",""
"2016","Estonia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","62.91",""
"2016","Ireland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","351.98",""
"2016","Greece","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","519.05",""
"2016","Spain","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","2 246.20",""
"2016","France","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","6 959.61",""
"2016","Croatia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","193.96",""
"2016","Italy","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","1 368.92",""
"2016","Cyprus","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","122.80",""
"2016","Latvia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","203.60",""
"2016","Lithuania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","344.78",""
"2016","Luxembourg","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","18.71",""
"2016","Hungary","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","429.44",""
"2016","Malta","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","6.83",""
"2016","Netherlands","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","6 534.34",""
"2016","Austria","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","767.26",""
"2016","Poland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","8 624.00",""
"2016","Portugal","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","451.04",""
"2016","Romania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","2 689.73",""
"2016","Slovenia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","84.91",""
"2016","Slovakia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","177.15",""
"2016","Finland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","587.60",""
"2016","Sweden","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","861.30",""
"2016","United Kingdom","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","5 373.00",""
"2016","Iceland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","10.00",""
"2016","Norway","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","350.80",""
