,Sex,Age,Education,Food,MeanConsumption_total,5PercentileConsumption,50PercentileConsuption,95PercentileConsumption,ConsumptionDays,MeanConsumptiononConsumptionDays,5percentileConsumptiondays,50percentileConsumptiondays,95percentileConsumptiondays
12988,Male,14 to 18 years,Education: lower,150101. Tomato sauces,,,,,,,,,
12989,Female,14 to 18 years,Education: lower,150101. Tomato sauces,,,,,,,,,
12990,Total male and female,19 to 30 years,Education: lower,150101. Tomato sauces,,,,,,,,,
12991,Male,19 to 30 years,Education: lower,150101. Tomato sauces,,,,,,,,,
12992,Female,19 to 30 years,Education: lower,150101. Tomato sauces,,,,,,,,,
12993,Total male and female,31 to 50 years,Education: lower,150101. Tomato sauces,,,,,,,,,
12994,Male,31 to 50 years,Education: lower,150101. Tomato sauces,,,,,,,,,
12995,Female,31 to 50 years,Education: lower,150101. Tomato sauces,,,,,,,,,
12996,Total male and female,51 to 70 years,Education: lower,150101. Tomato sauces,,,,,,,,,
12997,Male,51 to 70 years,Education: lower,150101. Tomato sauces,,,,,,,,,
12998,Female,51 to 70 years,Education: lower,150101. Tomato sauces,,,,,,,,,
12999,Total male and female,71 to 79 years,Education: lower,150101. Tomato sauces,,,,,,,,,
13000,Male,71 to 79 years,Education: lower,150101. Tomato sauces,,,,,,,,,
13001,Female,71 to 79 years,Education: lower,150101. Tomato sauces,,,,,,,,,
13002,Total male and female,1 to 79 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13003,Male,1 to 79 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13004,Female,1 to 79 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13005,Total male and female,1 to 18 years,Education: intermediate,150101. Tomato sauces,7.3,0.0,0.0,41.7,20.6,35.8,7.0,25.0,107.5
13006,Male,1 to 18 years,Education: intermediate,150101. Tomato sauces,7.8,0.0,0.0,41.7,21.9,36.0,8.7,25.0,100.0
13007,Female,1 to 18 years,Education: intermediate,150101. Tomato sauces,6.7,0.0,0.0,41.4,19.2,35.6,5.2,24.0,112.8
13008,Total male and female,19 to 79 years,Education: intermediate,150101. Tomato sauces,7.2,0.0,0.0,45.6,14.8,49.6,5.5,28.9,150.0
13009,Male,19 to 79 years,Education: intermediate,150101. Tomato sauces,8.7,0.0,0.0,52.0,15.9,56.1,6.2,32.8,163.2
13010,Female,19 to 79 years,Education: intermediate,150101. Tomato sauces,5.6,0.0,0.0,36.5,13.6,41.4,2.3,27.6,130.0
13011,Total male and female,1 to 3 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13012,Male,1 to 3 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13013,Female,1 to 3 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13014,Total male and female,4 to 8 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13015,Male,4 to 8 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13016,Female,4 to 8 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13017,Total male and female,9 to 13 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13018,Male,9 to 13 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13019,Female,9 to 13 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13020,Total male and female,14 to 18 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13021,Male,14 to 18 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13022,Female,14 to 18 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13023,Total male and female,19 to 30 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13024,Male,19 to 30 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13025,Female,19 to 30 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13026,Total male and female,31 to 50 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13027,Male,31 to 50 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13028,Female,31 to 50 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13029,Total male and female,51 to 70 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13030,Male,51 to 70 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13031,Female,51 to 70 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13032,Total male and female,71 to 79 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13033,Male,71 to 79 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13034,Female,71 to 79 years,Education: intermediate,150101. Tomato sauces,,,,,,,,,
13035,Total male and female,1 to 79 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13036,Male,1 to 79 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13037,Female,1 to 79 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13038,Total male and female,1 to 18 years,Education: higher,150101. Tomato sauces,6.4,0.0,0.0,34.2,17.8,35.9,4.6,25.0,107.5
13039,Male,1 to 18 years,Education: higher,150101. Tomato sauces,7.1,0.0,0.0,35.0,18.3,39.0,4.6,27.5,156.0
13040,Female,1 to 18 years,Education: higher,150101. Tomato sauces,5.7,0.0,0.0,34.2,17.4,32.5,4.4,22.0,100.0
13041,Total male and female,19 to 79 years,Education: higher,150101. Tomato sauces,6.9,0.0,0.0,43.8,15.5,46.2,10.3,27.6,150.0
13042,Male,19 to 79 years,Education: higher,150101. Tomato sauces,7.4,0.0,0.0,43.8,16.7,45.3,8.3,28.0,150.0
13043,Female,19 to 79 years,Education: higher,150101. Tomato sauces,6.3,0.0,0.0,44.2,14.2,47.3,10.9,21.8,150.0
13044,Total male and female,1 to 3 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13045,Male,1 to 3 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13046,Female,1 to 3 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13047,Total male and female,4 to 8 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13048,Male,4 to 8 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13049,Female,4 to 8 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13050,Total male and female,9 to 13 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13051,Male,9 to 13 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13052,Female,9 to 13 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13053,Total male and female,14 to 18 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13054,Male,14 to 18 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13055,Female,14 to 18 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13056,Total male and female,19 to 30 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13057,Male,19 to 30 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13058,Female,19 to 30 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13059,Total male and female,31 to 50 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13060,Male,31 to 50 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13061,Female,31 to 50 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13062,Total male and female,51 to 70 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13063,Male,51 to 70 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13064,Female,51 to 70 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13065,Total male and female,71 to 79 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13066,Male,71 to 79 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13067,Female,71 to 79 years,Education: higher,150101. Tomato sauces,,,,,,,,,
13068,Total male and female,1 to 79 years,Education: lower,150102. Dressings,,,,,,,,,
13069,Male,1 to 79 years,Education: lower,150102. Dressings,,,,,,,,,
13070,Female,1 to 79 years,Education: lower,150102. Dressings,,,,,,,,,
13071,Total male and female,1 to 18 years,Education: lower,150102. Dressings,6.6,0.0,1.4,27.6,28.8,23.9,4.5,19.7,60.4
13072,Male,1 to 18 years,Education: lower,150102. Dressings,7.0,0.0,2.8,25.1,28.9,25.9,5.5,24.0,85.8
13073,Female,1 to 18 years,Education: lower,150102. Dressings,6.1,0.0,0.7,27.6,28.7,21.7,3.6,17.0,47.0
13074,Total male and female,19 to 79 years,Education: lower,150102. Dressings,8.7,0.0,0.0,41.0,28.6,30.6,3.4,23.3,91.0
13075,Male,19 to 79 years,Education: lower,150102. Dressings,10.1,0.0,0.0,48.8,28.4,36.2,4.2,25.5,102.0
13076,Female,19 to 79 years,Education: lower,150102. Dressings,7.6,0.0,0.0,35.7,28.8,26.1,3.0,21.8,70.0
13077,Total male and female,1 to 3 years,Education: lower,150102. Dressings,,,,,,,,,
13078,Male,1 to 3 years,Education: lower,150102. Dressings,,,,,,,,,
13079,Female,1 to 3 years,Education: lower,150102. Dressings,,,,,,,,,
13080,Total male and female,4 to 8 years,Education: lower,150102. Dressings,,,,,,,,,
13081,Male,4 to 8 years,Education: lower,150102. Dressings,,,,,,,,,
13082,Female,4 to 8 years,Education: lower,150102. Dressings,,,,,,,,,
13083,Total male and female,9 to 13 years,Education: lower,150102. Dressings,,,,,,,,,
13084,Male,9 to 13 years,Education: lower,150102. Dressings,,,,,,,,,
13085,Female,9 to 13 years,Education: lower,150102. Dressings,,,,,,,,,
13086,Total male and female,14 to 18 years,Education: lower,150102. Dressings,,,,,,,,,
13087,Male,14 to 18 years,Education: lower,150102. Dressings,,,,,,,,,
13088,Female,14 to 18 years,Education: lower,150102. Dressings,,,,,,,,,
13089,Total male and female,19 to 30 years,Education: lower,150102. Dressings,,,,,,,,,
13090,Male,19 to 30 years,Education: lower,150102. Dressings,,,,,,,,,
13091,Female,19 to 30 years,Education: lower,150102. Dressings,,,,,,,,,
13092,Total male and female,31 to 50 years,Education: lower,150102. Dressings,,,,,,,,,
13093,Male,31 to 50 years,Education: lower,150102. Dressings,,,,,,,,,
13094,Female,31 to 50 years,Education: lower,150102. Dressings,,,,,,,,,
13095,Total male and female,51 to 70 years,Education: lower,150102. Dressings,,,,,,,,,
13096,Male,51 to 70 years,Education: lower,150102. Dressings,,,,,,,,,
13097,Female,51 to 70 years,Education: lower,150102. Dressings,,,,,,,,,
13098,Total male and female,71 to 79 years,Education: lower,150102. Dressings,,,,,,,,,
13099,Male,71 to 79 years,Education: lower,150102. Dressings,,,,,,,,,
13100,Female,71 to 79 years,Education: lower,150102. Dressings,,,,,,,,,
13101,Total male and female,1 to 79 years,Education: intermediate,150102. Dressings,,,,,,,,,
13102,Male,1 to 79 years,Education: intermediate,150102. Dressings,,,,,,,,,
13103,Female,1 to 79 years,Education: intermediate,150102. Dressings,,,,,,,,,
13104,Total male and female,1 to 18 years,Education: intermediate,150102. Dressings,7.1,0.0,0.0,31.8,26.4,27.2,3.8,22.7,66.0
13105,Male,1 to 18 years,Education: intermediate,150102. Dressings,7.7,0.0,0.0,40.0,26.1,29.4,3.9,25.0,75.0
13106,Female,1 to 18 years,Education: intermediate,150102. Dressings,6.6,0.0,0.0,27.0,26.7,25.0,3.6,20.0,55.0
13107,Total male and female,19 to 79 years,Education: intermediate,150102. Dressings,8.7,0.0,0.0,36.5,28.4,31.2,4.4,24.0,81.0
13108,Male,19 to 79 years,Education: intermediate,150102. Dressings,9.3,0.0,0.0,41.6,25.9,36.3,5.8,25.0,93.4
13109,Female,19 to 79 years,Education: intermediate,150102. Dressings,8.2,0.0,1.1,35.3,31.0,26.6,3.9,21.8,71.0
13110,Total male and female,1 to 3 years,Education: intermediate,150102. Dressings,,,,,,,,,
13111,Male,1 to 3 years,Education: intermediate,150102. Dressings,,,,,,,,,
13112,Female,1 to 3 years,Education: intermediate,150102. Dressings,,,,,,,,,
13113,Total male and female,4 to 8 years,Education: intermediate,150102. Dressings,,,,,,,,,
13114,Male,4 to 8 years,Education: intermediate,150102. Dressings,,,,,,,,,
13115,Female,4 to 8 years,Education: intermediate,150102. Dressings,,,,,,,,,
13116,Total male and female,9 to 13 years,Education: intermediate,150102. Dressings,,,,,,,,,
13117,Male,9 to 13 years,Education: intermediate,150102. Dressings,,,,,,,,,
13118,Female,9 to 13 years,Education: intermediate,150102. Dressings,,,,,,,,,
13119,Total male and female,14 to 18 years,Education: intermediate,150102. Dressings,,,,,,,,,
13120,Male,14 to 18 years,Education: intermediate,150102. Dressings,,,,,,,,,
13121,Female,14 to 18 years,Education: intermediate,150102. Dressings,,,,,,,,,
13122,Total male and female,19 to 30 years,Education: intermediate,150102. Dressings,,,,,,,,,
13123,Male,19 to 30 years,Education: intermediate,150102. Dressings,,,,,,,,,
13124,Female,19 to 30 years,Education: intermediate,150102. Dressings,,,,,,,,,
13125,Total male and female,31 to 50 years,Education: intermediate,150102. Dressings,,,,,,,,,
13126,Male,31 to 50 years,Education: intermediate,150102. Dressings,,,,,,,,,
13127,Female,31 to 50 years,Education: intermediate,150102. Dressings,,,,,,,,,
13128,Total male and female,51 to 70 years,Education: intermediate,150102. Dressings,,,,,,,,,
13129,Male,51 to 70 years,Education: intermediate,150102. Dressings,,,,,,,,,
13130,Female,51 to 70 years,Education: intermediate,150102. Dressings,,,,,,,,,
13131,Total male and female,71 to 79 years,Education: intermediate,150102. Dressings,,,,,,,,,
13132,Male,71 to 79 years,Education: intermediate,150102. Dressings,,,,,,,,,
13133,Female,71 to 79 years,Education: intermediate,150102. Dressings,,,,,,,,,
13134,Total male and female,1 to 79 years,Education: higher,150102. Dressings,,,,,,,,,
13135,Male,1 to 79 years,Education: higher,150102. Dressings,,,,,,,,,
13136,Female,1 to 79 years,Education: higher,150102. Dressings,,,,,,,,,
13137,Total male and female,1 to 18 years,Education: higher,150102. Dressings,4.9,0.0,0.0,25.5,21.6,22.6,3.3,17.0,60.0
13138,Male,1 to 18 years,Education: higher,150102. Dressings,5.3,0.0,0.0,27.5,20.6,25.8,3.8,20.0,71.8
13139,Female,1 to 18 years,Education: higher,150102. Dressings,4.4,0.0,0.0,20.0,22.8,19.5,1.9,17.0,46.3
13140,Total male and female,19 to 79 years,Education: higher,150102. Dressings,7.3,0.0,0.0,31.4,28.2,26.5,3.9,22.8,62.8
13141,Male,19 to 79 years,Education: higher,150102. Dressings,8.1,0.0,0.0,34.9,27.7,29.1,3.9,24.0,75.7
13142,Female,19 to 79 years,Education: higher,150102. Dressings,6.5,0.0,0.0,25.5,28.6,23.9,3.9,20.6,51.0
13143,Total male and female,1 to 3 years,Education: higher,150102. Dressings,,,,,,,,,
13144,Male,1 to 3 years,Education: higher,150102. Dressings,,,,,,,,,
13145,Female,1 to 3 years,Education: higher,150102. Dressings,,,,,,,,,
13146,Total male and female,4 to 8 years,Education: higher,150102. Dressings,,,,,,,,,
13147,Male,4 to 8 years,Education: higher,150102. Dressings,,,,,,,,,
13148,Female,4 to 8 years,Education: higher,150102. Dressings,,,,,,,,,
13149,Total male and female,9 to 13 years,Education: higher,150102. Dressings,,,,,,,,,
13150,Male,9 to 13 years,Education: higher,150102. Dressings,,,,,,,,,
13151,Female,9 to 13 years,Education: higher,150102. Dressings,,,,,,,,,
13152,Total male and female,14 to 18 years,Education: higher,150102. Dressings,,,,,,,,,
13153,Male,14 to 18 years,Education: higher,150102. Dressings,,,,,,,,,
13154,Female,14 to 18 years,Education: higher,150102. Dressings,,,,,,,,,
13155,Total male and female,19 to 30 years,Education: higher,150102. Dressings,,,,,,,,,
13156,Male,19 to 30 years,Education: higher,150102. Dressings,,,,,,,,,
13157,Female,19 to 30 years,Education: higher,150102. Dressings,,,,,,,,,
13158,Total male and female,31 to 50 years,Education: higher,150102. Dressings,,,,,,,,,
13159,Male,31 to 50 years,Education: higher,150102. Dressings,,,,,,,,,
13160,Female,31 to 50 years,Education: higher,150102. Dressings,,,,,,,,,
13161,Total male and female,51 to 70 years,Education: higher,150102. Dressings,,,,,,,,,
13162,Male,51 to 70 years,Education: higher,150102. Dressings,,,,,,,,,
13163,Female,51 to 70 years,Education: higher,150102. Dressings,,,,,,,,,
13164,Total male and female,71 to 79 years,Education: higher,150102. Dressings,,,,,,,,,
13165,Male,71 to 79 years,Education: higher,150102. Dressings,,,,,,,,,
13166,Female,71 to 79 years,Education: higher,150102. Dressings,,,,,,,,,
13167,Total male and female,1 to 79 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13168,Male,1 to 79 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13169,Female,1 to 79 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13170,Total male and female,1 to 18 years,Education: lower,150103. Mayonnaise based spreads,1.2,0.0,0.0,7.2,3.6,35.7,9.6,20.0,149.9
13171,Male,1 to 18 years,Education: lower,150103. Mayonnaise based spreads,0.8,0.0,0.0,0.0,3.3,26.4,5.0,20.0,62.2
13172,Female,1 to 18 years,Education: lower,150103. Mayonnaise based spreads,1.6,0.0,0.0,7.8,4.0,43.9,9.6,30.0,149.9
13173,Total male and female,19 to 79 years,Education: lower,150103. Mayonnaise based spreads,4.6,0.0,0.0,30.2,9.2,49.5,9.6,40.0,130.2
13174,Male,19 to 79 years,Education: lower,150103. Mayonnaise based spreads,4.7,0.0,0.0,29.1,7.3,65.3,15.0,40.0,160.0
13175,Female,19 to 79 years,Education: lower,150103. Mayonnaise based spreads,4.5,0.0,0.0,30.2,10.8,40.8,5.2,33.3,112.3
13176,Total male and female,1 to 3 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13177,Male,1 to 3 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13178,Female,1 to 3 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13179,Total male and female,4 to 8 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13180,Male,4 to 8 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13181,Female,4 to 8 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13182,Total male and female,9 to 13 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13183,Male,9 to 13 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13184,Female,9 to 13 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13185,Total male and female,14 to 18 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13186,Male,14 to 18 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13187,Female,14 to 18 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13188,Total male and female,19 to 30 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13189,Male,19 to 30 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13190,Female,19 to 30 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13191,Total male and female,31 to 50 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13192,Male,31 to 50 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13193,Female,31 to 50 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13194,Total male and female,51 to 70 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13195,Male,51 to 70 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13196,Female,51 to 70 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13197,Total male and female,71 to 79 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13198,Male,71 to 79 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13199,Female,71 to 79 years,Education: lower,150103. Mayonnaise based spreads,,,,,,,,,
13200,Total male and female,1 to 79 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13201,Male,1 to 79 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13202,Female,1 to 79 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13203,Total male and female,1 to 18 years,Education: intermediate,150103. Mayonnaise based spreads,1.8,0.0,0.0,10.0,3.7,47.3,5.6,30.0,150.0
13204,Male,1 to 18 years,Education: intermediate,150103. Mayonnaise based spreads,1.8,0.0,0.0,10.0,3.8,47.1,5.6,30.0,188.9
13205,Female,1 to 18 years,Education: intermediate,150103. Mayonnaise based spreads,1.7,0.0,0.0,12.5,3.6,47.6,10.0,39.6,125.0
13206,Total male and female,19 to 79 years,Education: intermediate,150103. Mayonnaise based spreads,5.8,0.0,0.0,40.0,10.2,56.3,10.0,40.0,156.0
13207,Male,19 to 79 years,Education: intermediate,150103. Mayonnaise based spreads,6.8,0.0,0.0,43.0,12.1,57.5,10.0,40.0,156.0
13208,Female,19 to 79 years,Education: intermediate,150103. Mayonnaise based spreads,4.7,0.0,0.0,30.2,8.1,54.6,13.3,38.5,150.0
13209,Total male and female,1 to 3 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13210,Male,1 to 3 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13211,Female,1 to 3 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13212,Total male and female,4 to 8 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13213,Male,4 to 8 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13214,Female,4 to 8 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13215,Total male and female,9 to 13 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13216,Male,9 to 13 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13217,Female,9 to 13 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13218,Total male and female,14 to 18 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13219,Male,14 to 18 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13220,Female,14 to 18 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13221,Total male and female,19 to 30 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13222,Male,19 to 30 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13223,Female,19 to 30 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13224,Total male and female,31 to 50 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13225,Male,31 to 50 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13226,Female,31 to 50 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13227,Total male and female,51 to 70 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13228,Male,51 to 70 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13229,Female,51 to 70 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13230,Total male and female,71 to 79 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13231,Male,71 to 79 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13232,Female,71 to 79 years,Education: intermediate,150103. Mayonnaise based spreads,,,,,,,,,
13233,Total male and female,1 to 79 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13234,Male,1 to 79 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13235,Female,1 to 79 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13236,Total male and female,1 to 18 years,Education: higher,150103. Mayonnaise based spreads,1.0,0.0,0.0,5.2,3.2,31.0,4.8,25.0,99.8
13237,Male,1 to 18 years,Education: higher,150103. Mayonnaise based spreads,0.8,0.0,0.0,2.4,2.8,29.7,3.2,23.9,109.6
13238,Female,1 to 18 years,Education: higher,150103. Mayonnaise based spreads,1.2,0.0,0.0,7.5,3.7,32.0,5.6,25.0,99.8
13239,Total male and female,19 to 79 years,Education: higher,150103. Mayonnaise based spreads,5.1,0.0,0.0,31.3,10.6,48.3,10.0,40.0,120.7
13240,Male,19 to 79 years,Education: higher,150103. Mayonnaise based spreads,6.2,0.0,0.0,40.0,11.4,53.9,10.0,49.9,150.0
13241,Female,19 to 79 years,Education: higher,150103. Mayonnaise based spreads,3.9,0.0,0.0,28.9,9.6,41.2,9.6,30.0,120.7
13242,Total male and female,1 to 3 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13243,Male,1 to 3 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13244,Female,1 to 3 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13245,Total male and female,4 to 8 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13246,Male,4 to 8 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13247,Female,4 to 8 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13248,Total male and female,9 to 13 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13249,Male,9 to 13 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13250,Female,9 to 13 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13251,Total male and female,14 to 18 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13252,Male,14 to 18 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13253,Female,14 to 18 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13254,Total male and female,19 to 30 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13255,Male,19 to 30 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13256,Female,19 to 30 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13257,Total male and female,31 to 50 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13258,Male,31 to 50 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13259,Female,31 to 50 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13260,Total male and female,51 to 70 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13261,Male,51 to 70 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13262,Female,51 to 70 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13263,Total male and female,71 to 79 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13264,Male,71 to 79 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13265,Female,71 to 79 years,Education: higher,150103. Mayonnaise based spreads,,,,,,,,,
13266,Total male and female,1 to 79 years,Education: lower,1503. Spices,,,,,,,,,
13267,Male,1 to 79 years,Education: lower,1503. Spices,,,,,,,,,
13268,Female,1 to 79 years,Education: lower,1503. Spices,,,,,,,,,
13269,Total male and female,1 to 18 years,Education: lower,1503. Spices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13270,Male,1 to 18 years,Education: lower,1503. Spices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13271,Female,1 to 18 years,Education: lower,1503. Spices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13272,Total male and female,19 to 79 years,Education: lower,1503. Spices,0.0,0.0,0.0,0.0,0.2,1.4,0.7,0.8,4.0
13273,Male,19 to 79 years,Education: lower,1503. Spices,0.0,0.0,0.0,0.0,0.1,0.8,0.7,0.7,0.8
13274,Female,19 to 79 years,Education: lower,1503. Spices,0.0,0.0,0.0,0.0,0.3,1.6,0.8,0.8,4.0
13275,Total male and female,1 to 3 years,Education: lower,1503. Spices,,,,,,,,,
13276,Male,1 to 3 years,Education: lower,1503. Spices,,,,,,,,,
13277,Female,1 to 3 years,Education: lower,1503. Spices,,,,,,,,,
13278,Total male and female,4 to 8 years,Education: lower,1503. Spices,,,,,,,,,
13279,Male,4 to 8 years,Education: lower,1503. Spices,,,,,,,,,
13280,Female,4 to 8 years,Education: lower,1503. Spices,,,,,,,,,
13281,Total male and female,9 to 13 years,Education: lower,1503. Spices,,,,,,,,,
13282,Male,9 to 13 years,Education: lower,1503. Spices,,,,,,,,,
13283,Female,9 to 13 years,Education: lower,1503. Spices,,,,,,,,,
13284,Total male and female,14 to 18 years,Education: lower,1503. Spices,,,,,,,,,
