,Name,BUURTCODE,Population,Food_consumed,green electricity,nongreen electricity,Gas,water_per_capita,car km per capita,train km per capita,tram km per capita,Clothes,Detergent,Footwear,Furniture,Paper,Personalcare,Household_size,Waste_generated_per_household,waste per capita
32,Kom Loosduinen,95,4975,3111.95780904522,743.6143519,480.2147938,531.6180904,35.84314485,20.18671152,5.571142845,1.834773314,16.93291946,117.4804249,2.5155816509999998,1.59352401,34.47757047,106.9241105,1.7,971.3784880000001,571.3991106000001
33,Waldeck-Zuid,6,2035,3102.9025061425,855.9344815999999,569.1269434999999,552.9238330000001,37.22055536,19.73456473,5.578911263999999,1.839023799,17.12212546,124.83878610000001,2.5290820309999997,1.590039612,34.46334429,107.31647109999999,1.8,957.9718353000001,532.2065752000001
34,Nieuw Waldeck,40,7210,3059.26411927877,706.8834902000001,418.9486873,517.7877947,31.135151699999998,20.19877288,5.47788531,1.8139002359999998,16.76031267,120.433287,2.286782475,1.307850762,28.28993365,102.0625434,2.1,1169.326873,556.8223207000001
35,Rosenburg,82,2910,3144.94886597938,657.1092363,461.4474647,559.2783505,34.90949751,20.30996384,5.615459638,1.847540604,16.92667975,117.4855078,2.537858184,1.625796943,34.34861846,107.2377206,1.7,957.9718353000001,563.5128443
36,Componistenbuurt,93,1825,3124.87857534246,826.294935,562.0886267000001,739.3424658,39.34138172,20.11421113,5.660916591,1.867513056,17.3861983,124.50991200000001,2.55427052,1.687019365,39.45804294,129.64214040000002,1.8,957.9718353000001,532.2065752000001
37,Waldeck-Noord,94,3150,3188.81758730158,864.3671303,696.4582665,575.7142857000001,42.31085477,19.11054607,5.828306992000001,1.931455645,16.67235982,118.1452395,2.5023407730000002,1.7699656019999999,38.75440379,116.70547920000001,1.5,957.9718353000001,638.6478902000001
38,Vruchtenbuurt,53,7165,3053.80143754361,703.3836071000001,451.35470419999996,628.2484297999999,31.79170496,20.26549273,5.37463895,1.768985495,15.25224674,121.51546450000001,2.5478665819999997,1.693359434,36.29050468,134.1696028,2.2,1111.5614640000001,505.2552108
39,Eykenduinen,83,2635,3097.3020113852,722.9655709,469.29249360000006,651.2333966,34.69940981,21.04906243,5.370687002,1.747538587,16.59562922,125.6262837,2.665377337,1.540637812,38.392054200000004,116.86707690000001,2.0,1087.3729720000001,543.6864859
40,Heesterbuurt,54,6805,3072.14288023512,726.2936748,409.84886739999996,609.235856,35.60589735,21.391906,5.409048609,1.774219385,16.13998686,125.3671178,2.301745306,1.592801058,21.36153172,114.36103519999999,1.8,924.4072589,513.5595883000001
41,Valkenboskwartier,55,11435,3091.5461303017,787.1129694,448.87303849999995,714.7223436,34.92377019,21.75102756,5.461459858,1.799261354,15.90407268,113.3466068,2.546115974,1.680838496,21.56366446,107.9236252,1.8,957.2292858999999,531.7940477
42,Rond de Energiecentrale,10,5955,3118.56890008396,719.5378435,457.2379751,475.13014280000004,35.742823,21.88143525,5.515990728999999,1.822452084,16.12084446,94.41595945,3.11997976,1.66896115,32.40262755,120.69810679999999,1.8,939.1177548000001,521.732086
