"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2015","Austria","Current prices, million euro","Newspapers, books and stationery","2 240.1",""
"2015","Poland","Current prices, million euro","Newspapers, books and stationery","3 759.0",""
"2015","Portugal","Current prices, million euro","Newspapers, books and stationery","1 259.9",""
"2015","Romania","Current prices, million euro","Newspapers, books and stationery","746.0",""
"2015","Slovenia","Current prices, million euro","Newspapers, books and stationery","203.3",""
"2015","Slovakia","Current prices, million euro","Newspapers, books and stationery","894.6",""
"2015","Finland","Current prices, million euro","Newspapers, books and stationery","1 423.0",""
"2015","Sweden","Current prices, million euro","Newspapers, books and stationery","1 782.5",""
"2015","United Kingdom","Current prices, million euro","Newspapers, books and stationery","14 838.0",""
"2015","Iceland","Current prices, million euro","Newspapers, books and stationery","104.4",""
"2015","Norway","Current prices, million euro","Newspapers, books and stationery","2 175.1",""
"2015","Switzerland","Current prices, million euro","Newspapers, books and stationery",":",""
"2015","Montenegro","Current prices, million euro","Newspapers, books and stationery",":","c"
"2015","North Macedonia","Current prices, million euro","Newspapers, books and stationery",":",""
"2015","Albania","Current prices, million euro","Newspapers, books and stationery",":",""
"2015","Serbia","Current prices, million euro","Newspapers, books and stationery","177.2",""
"2015","Turkey","Current prices, million euro","Newspapers, books and stationery",":","c"
"2015","Bosnia and Herzegovina","Current prices, million euro","Newspapers, books and stationery",":",""
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Newspapers, books and stationery","74.4",""
"2016","European Union - 27 countries (from 2020)","Current prices, million euro","Newspapers, books and stationery","76 498.6",""
"2016","European Union - 28 countries (2013-2020)","Current prices, million euro","Newspapers, books and stationery","90 517.2",""
"2016","European Union - 15 countries (1995-2004)","Current prices, million euro","Newspapers, books and stationery","82 551.1",""
"2016","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Newspapers, books and stationery","67 281.4",""
"2016","Euro area - 19 countries  (from 2015)","Current prices, million euro","Newspapers, books and stationery","67 281.4",""
"2016","Euro area - 12 countries (2001-2006)","Current prices, million euro","Newspapers, books and stationery","65 559.5",""
"2016","Belgium","Current prices, million euro","Newspapers, books and stationery","2 276.5",""
"2016","Bulgaria","Current prices, million euro","Newspapers, books and stationery","194.8",""
"2016","Czechia","Current prices, million euro","Newspapers, books and stationery","564.1",""
"2016","Denmark","Current prices, million euro","Newspapers, books and stationery","1 279.6",""
"2016","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Newspapers, books and stationery","24 664.0",""
"2016","Estonia","Current prices, million euro","Newspapers, books and stationery","121.0",""
"2016","Ireland","Current prices, million euro","Newspapers, books and stationery","682.9",""
"2016","Greece","Current prices, million euro","Newspapers, books and stationery","824.1","p"
"2016","Spain","Current prices, million euro","Newspapers, books and stationery","4 888.0",""
"2016","France","Current prices, million euro","Newspapers, books and stationery","14 679.0",""
"2016","Croatia","Current prices, million euro","Newspapers, books and stationery","590.3",""
"2016","Italy","Current prices, million euro","Newspapers, books and stationery","9 041.6",""
"2016","Cyprus","Current prices, million euro","Newspapers, books and stationery","84.6",""
"2016","Latvia","Current prices, million euro","Newspapers, books and stationery","144.7",""
"2016","Lithuania","Current prices, million euro","Newspapers, books and stationery","198.3",""
"2016","Luxembourg","Current prices, million euro","Newspapers, books and stationery","216.7",""
"2016","Hungary","Current prices, million euro","Newspapers, books and stationery","561.2",""
"2016","Malta","Current prices, million euro","Newspapers, books and stationery","45.8",""
"2016","Netherlands","Current prices, million euro","Newspapers, books and stationery","3 447.0",""
"2016","Austria","Current prices, million euro","Newspapers, books and stationery","2 287.4",""
"2016","Poland","Current prices, million euro","Newspapers, books and stationery","3 545.0",""
"2016","Portugal","Current prices, million euro","Newspapers, books and stationery","1 158.3",""
"2016","Romania","Current prices, million euro","Newspapers, books and stationery","788.7",""
"2016","Slovenia","Current prices, million euro","Newspapers, books and stationery","199.7",""
"2016","Slovakia","Current prices, million euro","Newspapers, books and stationery","927.8",""
"2016","Finland","Current prices, million euro","Newspapers, books and stationery","1 394.0",""
"2016","Sweden","Current prices, million euro","Newspapers, books and stationery","1 692.8",""
"2016","United Kingdom","Current prices, million euro","Newspapers, books and stationery","14 018.6",""
"2016","Iceland","Current prices, million euro","Newspapers, books and stationery","116.4",""
"2016","Norway","Current prices, million euro","Newspapers, books and stationery","2 159.1",""
"2016","Switzerland","Current prices, million euro","Newspapers, books and stationery",":",""
"2016","Montenegro","Current prices, million euro","Newspapers, books and stationery",":","c"
"2016","North Macedonia","Current prices, million euro","Newspapers, books and stationery",":",""
"2016","Albania","Current prices, million euro","Newspapers, books and stationery",":",""
"2016","Serbia","Current prices, million euro","Newspapers, books and stationery","181.0",""
"2016","Turkey","Current prices, million euro","Newspapers, books and stationery",":","c"
"2016","Bosnia and Herzegovina","Current prices, million euro","Newspapers, books and stationery",":",""
"2016","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Newspapers, books and stationery","86.9",""
"2017","European Union - 27 countries (from 2020)","Current prices, million euro","Newspapers, books and stationery","75 924.4",""
"2017","European Union - 28 countries (2013-2020)","Current prices, million euro","Newspapers, books and stationery","89 767.7",""
"2017","European Union - 15 countries (1995-2004)","Current prices, million euro","Newspapers, books and stationery","81 550.0",""
"2017","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Newspapers, books and stationery","66 529.6",""
"2017","Euro area - 19 countries  (from 2015)","Current prices, million euro","Newspapers, books and stationery","66 529.6",""
"2017","Euro area - 12 countries (2001-2006)","Current prices, million euro","Newspapers, books and stationery","64 718.0",""
"2017","Belgium","Current prices, million euro","Newspapers, books and stationery","2 238.4",""
"2017","Bulgaria","Current prices, million euro","Newspapers, books and stationery","215.0",""
"2017","Czechia","Current prices, million euro","Newspapers, books and stationery","607.5",""
"2017","Denmark","Current prices, million euro","Newspapers, books and stationery","1 241.9",""
"2017","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Newspapers, books and stationery","24 392.0",""
"2017","Estonia","Current prices, million euro","Newspapers, books and stationery","126.8",""
"2017","Ireland","Current prices, million euro","Newspapers, books and stationery","688.5",""
"2017","Greece","Current prices, million euro","Newspapers, books and stationery","819.8","p"
"2017","Spain","Current prices, million euro","Newspapers, books and stationery","4 585.0",""
"2017","France","Current prices, million euro","Newspapers, books and stationery","14 370.0","p"
"2017","Croatia","Current prices, million euro","Newspapers, books and stationery","669.5",""
"2017","Italy","Current prices, million euro","Newspapers, books and stationery","9 217.5",""
"2017","Cyprus","Current prices, million euro","Newspapers, books and stationery","86.1",""
"2017","Latvia","Current prices, million euro","Newspapers, books and stationery","163.1",""
"2017","Lithuania","Current prices, million euro","Newspapers, books and stationery","204.8",""
"2017","Luxembourg","Current prices, million euro","Newspapers, books and stationery","202.9",""
"2017","Hungary","Current prices, million euro","Newspapers, books and stationery","574.0",""
"2017","Malta","Current prices, million euro","Newspapers, books and stationery","43.9",""
"2017","Netherlands","Current prices, million euro","Newspapers, books and stationery","3 472.0",""
"2017","Austria","Current prices, million euro","Newspapers, books and stationery","2 290.3",""
"2017","Poland","Current prices, million euro","Newspapers, books and stationery","3 457.9",""
"2017","Portugal","Current prices, million euro","Newspapers, books and stationery","1 074.6",""
"2017","Romania","Current prices, million euro","Newspapers, books and stationery","845.1",""
"2017","Slovenia","Current prices, million euro","Newspapers, books and stationery","193.5",""
"2017","Slovakia","Current prices, million euro","Newspapers, books and stationery","993.5",""
"2017","Finland","Current prices, million euro","Newspapers, books and stationery","1 367.0",""
"2017","Sweden","Current prices, million euro","Newspapers, books and stationery","1 740.6",""
"2017","United Kingdom","Current prices, million euro","Newspapers, books and stationery","13 843.3",""
