"TIME","GEO","DAIRYPROD","MILKITEM","Value","Flag and Footnotes"
"2009","Netherlands","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","-440.95",""
"2009","Netherlands","Manufactured products","Utilization of whole milk (1 000 t)","9 377.42",""
"2009","Austria","Fresh products","Products obtained (1 000 t)","1 084.22",""
"2009","Austria","Fresh products","Fat content (t)","41 692.85",""
"2009","Austria","Fresh products","Protein content (t)",":",""
"2009","Austria","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","92.34",""
"2009","Austria","Fresh products","Utilization of whole milk (1 000 t)","991.87",""
"2009","Austria","Manufactured products","Products obtained (1 000 t)","1 254.06",""
"2009","Austria","Manufactured products","Fat content (t)","59 791.20",""
"2009","Austria","Manufactured products","Protein content (t)",":",""
"2009","Austria","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","-161.39",""
"2009","Austria","Manufactured products","Utilization of whole milk (1 000 t)","1 422.43",""
"2009","Poland","Fresh products","Products obtained (1 000 t)","2 385.03",""
"2009","Poland","Fresh products","Fat content (t)","97 578.62",""
"2009","Poland","Fresh products","Protein content (t)",":",""
"2009","Poland","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","-91.83",""
"2009","Poland","Fresh products","Utilization of whole milk (1 000 t)","2 511.37",""
"2009","Poland","Manufactured products","Products obtained (1 000 t)","3 751.25",""
"2009","Poland","Manufactured products","Fat content (t)","130 488.55",""
"2009","Poland","Manufactured products","Protein content (t)",":",""
"2009","Poland","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","-1 401.32",""
"2009","Poland","Manufactured products","Utilization of whole milk (1 000 t)","6 060.42",""
"2009","Portugal","Fresh products","Products obtained (1 000 t)",":","c"
"2009","Portugal","Fresh products","Fat content (t)","22 494.61",""
"2009","Portugal","Fresh products","Protein content (t)",":",""
"2009","Portugal","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","233.10",""
"2009","Portugal","Fresh products","Utilization of whole milk (1 000 t)","1 027.56",""
"2009","Portugal","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","Portugal","Manufactured products","Fat content (t)","44 949.82",""
"2009","Portugal","Manufactured products","Protein content (t)",":",""
"2009","Portugal","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","887.38",""
"2009","Portugal","Manufactured products","Utilization of whole milk (1 000 t)","1 205.09",""
"2009","Romania","Fresh products","Products obtained (1 000 t)",":","c"
"2009","Romania","Fresh products","Fat content (t)","19 285.60",""
"2009","Romania","Fresh products","Protein content (t)",":",""
"2009","Romania","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","-58.52",""
"2009","Romania","Fresh products","Utilization of whole milk (1 000 t)","513.38",""
"2009","Romania","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","Romania","Manufactured products","Fat content (t)","33 769.00",""
"2009","Romania","Manufactured products","Protein content (t)",":","c"
"2009","Romania","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","-324.81",""
"2009","Romania","Manufactured products","Utilization of whole milk (1 000 t)","900.71",""
"2009","Slovenia","Fresh products","Products obtained (1 000 t)",":","c"
"2009","Slovenia","Fresh products","Fat content (t)","8 760.24",""
"2009","Slovenia","Fresh products","Protein content (t)",":",""
"2009","Slovenia","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","-20.12",""
"2009","Slovenia","Fresh products","Utilization of whole milk (1 000 t)","214.42",""
"2009","Slovenia","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","Slovenia","Manufactured products","Fat content (t)","6 076.36",""
"2009","Slovenia","Manufactured products","Protein content (t)",":",""
"2009","Slovenia","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","14.85",""
"2009","Slovenia","Manufactured products","Utilization of whole milk (1 000 t)","148.52",""
"2009","Slovakia","Fresh products","Products obtained (1 000 t)","345.01",""
"2009","Slovakia","Fresh products","Fat content (t)","11 513.02",""
"2009","Slovakia","Fresh products","Protein content (t)",":",""
"2009","Slovakia","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","21.93",""
"2009","Slovakia","Fresh products","Utilization of whole milk (1 000 t)","316.25",""
"2009","Slovakia","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","Slovakia","Manufactured products","Fat content (t)","15 137.85",""
"2009","Slovakia","Manufactured products","Protein content (t)",":",""
"2009","Slovakia","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","-78.65",""
"2009","Slovakia","Manufactured products","Utilization of whole milk (1 000 t)","426.83",""
"2009","Finland","Fresh products","Products obtained (1 000 t)","1 002.51",""
"2009","Finland","Fresh products","Fat content (t)","23 171.59",""
"2009","Finland","Fresh products","Protein content (t)",":",""
"2009","Finland","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","471.40",""
"2009","Finland","Fresh products","Utilization of whole milk (1 000 t)","541.86",""
"2009","Finland","Manufactured products","Products obtained (1 000 t)","1 170.67",""
"2009","Finland","Manufactured products","Fat content (t)","69 439.26",""
"2009","Finland","Manufactured products","Protein content (t)",":",""
"2009","Finland","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","-291.74",""
"2009","Finland","Manufactured products","Utilization of whole milk (1 000 t)","1 646.49",""
"2009","Sweden","Fresh products","Products obtained (1 000 t)","1 279.88",""
"2009","Sweden","Fresh products","Fat content (t)","52 387.60",""
"2009","Sweden","Fresh products","Protein content (t)",":",""
"2009","Sweden","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","32.55",""
"2009","Sweden","Fresh products","Utilization of whole milk (1 000 t)","1 247.32",""
