Name,Type,code,food,Amount per day
Moerwijk-Oost,Buurt,BU05183620,0100. Unclassified and other tubers,1090.9
Moerwijk-West,Buurt,BU05183637,0100. Unclassified and other tubers,2037.7
Moerwijk-Noord,Buurt,BU05183638,0100. Unclassified and other tubers,2302.7
Moerwijk-Zuid,Buurt,BU05183639,0100. Unclassified and other tubers,1490.1
Wijk 37 Groente- en Fruitmarkt,Wijk,WK051837,0100. Unclassified and other tubers,1562
Groente- en Fruitmarkt,Buurt,BU05183721,0100. Unclassified and other tubers,1562
Wijk 38 Laakkwartier en Spoorwijk,Wijk,WK051838,0100. Unclassified and other tubers,14354
Laakhaven-Oost,Buurt,BU05183819,0100. Unclassified and other tubers,1390
Laakhaven-West,Buurt,BU05183822,0100. Unclassified and other tubers,1890
Spoorwijk,Buurt,BU05183823,0100. Unclassified and other tubers,1433.3
Laakkwartier-West,Buurt,BU05183824,0100. Unclassified and other tubers,2813.1
Laakkwartier-Oost,Buurt,BU05183825,0100. Unclassified and other tubers,3931.2
Noordpolderbuurt,Buurt,BU05183826,0100. Unclassified and other tubers,2869.3
Wijk 39 Binckhorst,Wijk,WK051839,0100. Unclassified and other tubers,807
Binckhorst,Buurt,BU05183960,0100. Unclassified and other tubers,807
Wijk 40 Wateringse Veld,Wijk,WK051840,0100. Unclassified and other tubers,10563.2
Erasmus Veld,Buurt,BU05184001,0100. Unclassified and other tubers,1091
Hoge Veld,Buurt,BU05184002,0100. Unclassified and other tubers,3984.2
Parkbuurt oosteinde,Buurt,BU05184003,0100. Unclassified and other tubers,1694.5
Lage Veld,Buurt,BU05184004,0100. Unclassified and other tubers,2124.6
Zonne Veld,Buurt,BU05184005,0100. Unclassified and other tubers,1639.8
Wijk 41 Hoornwijk,Wijk,WK051841,0100. Unclassified and other tubers,140.4
Vlietzoom-West,Buurt,BU05184106,0100. Unclassified and other tubers,82.8
De Reef,Buurt,BU05184110,0100. Unclassified and other tubers,52.2
Wijk 42 Ypenburg,Wijk,WK051842,0100. Unclassified and other tubers,13001
Bosweide,Buurt,BU05184208,0100. Unclassified and other tubers,976.3
De Venen,Buurt,BU05184211,0100. Unclassified and other tubers,831.5
Morgenweide,Buurt,BU05184212,0100. Unclassified and other tubers,3430.7
Singels,Buurt,BU05184213,0100. Unclassified and other tubers,2746.3
Waterbuurt,Buurt,BU05184214,0100. Unclassified and other tubers,2300.3
De Bras,Buurt,BU05184215,0100. Unclassified and other tubers,2689.4
Wijk 43 Forepark,Wijk,WK051843,0100. Unclassified and other tubers,61.7
Vlietzoom-Oost,Buurt,BU05184316,0100. Unclassified and other tubers,52.7
De Rivieren,Buurt,BU05184317,0100. Unclassified and other tubers,8.5
Wijk 44 Leidschenveen,Wijk,WK051844,0100. Unclassified and other tubers,10816.3
De Lanen,Buurt,BU05184418,0100. Unclassified and other tubers,2632.4
De Velden,Buurt,BU05184419,0100. Unclassified and other tubers,2251.6
De Vissen,Buurt,BU05184420,0100. Unclassified and other tubers,4573.4
Rietbuurt,Buurt,BU05184421,0100. Unclassified and other tubers,1349.3
Wijk 02 Belgisch Park,Wijk,WK051802,0101. Potatoes,565651.3
Belgisch Park,Buurt,BU05180271,0101. Potatoes,565651.3
Wijk 03 Westbroekpark en Duttendel,Wijk,WK051803,0101. Potatoes,128141.7
Westbroekpark,Buurt,BU05180373,0101. Potatoes,57487.5
Duttendel,Buurt,BU05180374,0101. Potatoes,70070
Wijk 04 Benoordenhout,Wijk,WK051804,0101. Potatoes,873800.4
Nassaubuurt,Buurt,BU05180448,0101. Potatoes,103207
Uilennest,Buurt,BU05180475,0101. Potatoes,134328.2
Duinzigt,Buurt,BU05180476,0101. Potatoes,158836
Waalsdorp,Buurt,BU05180477,0101. Potatoes,241472.6
Arendsdorp,Buurt,BU05180478,0101. Potatoes,82728.7
Van Hoytemastraat en omgeving,Buurt,BU05180479,0101. Potatoes,149780.1
Wijk 05 Archipelbuurt,Wijk,WK051805,0101. Potatoes,396035.2
Archipelbuurt,Buurt,BU05180546,0101. Potatoes,396035.2
Wijk 06 Van Stolkpark en Scheveningse Bo,Wijk,WK051806,0101. Potatoes,48397
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,0101. Potatoes,48397
Wijk 07 Scheveningen,Wijk,WK051807,0101. Potatoes,1238242
Oud Scheveningen,Buurt,BU05180701,0101. Potatoes,209897.9
Vissershaven,Buurt,BU05180702,0101. Potatoes,252434.9
Scheveningen Badplaats,Buurt,BU05180703,0101. Potatoes,385829.8
Visserijbuurt,Buurt,BU05180704,0101. Potatoes,273388.8
Rijslag,Buurt,BU05180772,0101. Potatoes,114201.4
Wijk 08 Duindorp,Wijk,WK051808,0101. Potatoes,446109.5
Duindorp,Buurt,BU05180800,0101. Potatoes,446109.5
Wijk 09 Geuzen- en Statenkwartier,Wijk,WK051809,0101. Potatoes,921629.5
Statenkwartier,Buurt,BU05180907,0101. Potatoes,632426.6
Geuzenkwartier,Buurt,BU05180908,0101. Potatoes,288921.6
Wijk 10 Zorgvliet,Wijk,WK051810,0101. Potatoes,36320.6
Zorgvliet,Buurt,BU05181041,0101. Potatoes,36320.6
Wijk 11 Duinoord,Wijk,WK051811,0101. Potatoes,493028.2
Stadhoudersplantsoen,Buurt,BU05181142,0101. Potatoes,123963.7
Sweelinckplein en omgeving,Buurt,BU05181143,0101. Potatoes,368714.4
Wijk 12 Bomen- en Bloemenbuurt,Wijk,WK051812,0101. Potatoes,1004943.5
Bloemenbuurt-West,Buurt,BU05181250,0101. Potatoes,160003.6
Bloemenbuurt-Oost,Buurt,BU05181251,0101. Potatoes,441820.2
Bomenbuurt,Buurt,BU05181252,0101. Potatoes,402067.1
Wijk 13 Vogelwijk,Wijk,WK051813,0101. Potatoes,353413.3
Vogelwijk,Buurt,BU05181309,0101. Potatoes,353413.3
Wijk 14 Bohemen en Meer en Bos,Wijk,WK051814,0101. Potatoes,333661.4
