TIME,GEO,All-purposes household cleaner (1 l),Cleaner for WC (1 l),Cleaning liquid for windows (1 l),"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ","Detergent for washing machine, powder, > 90 g/wash (1 kg) "
2012,Croatia,2.72,2.60,2.70,3.16,2.224797136038186
2012,Italy,2.20,2.58,2.9635560859188548,3.8782338902147977,2.58
2012,Cyprus,2.03,2.04,2.96,3.03,2.8420286396181385
2012,Latvia,1.5011933174224346,2.097255369928401,2.68227923627685,3.5101431980906925,2.1303699284009547
2012,Lithuania,2.06,2.58,3.33,3.79,2.160310262529833
2012,Luxembourg,1.5287828162291173,2.135799522673031,2.731575178997614,3.5746539379474944,2.1695226730310266
2012,Hungary,1.2480190930787591,1.7435560859188546,2.2299164677804297,2.9181622911694514,1.7710859188544155
2012,Malta,3.72,3.33,3.34,3.40,2.93
2012,Netherlands,1.28,2.03,2.64,2.76,2.3031026252983295
2012,Austria,1.5125536992840096,2.113126491646778,2.7025775656324584,3.5367064439140816,2.1464916467780433
2012,Poland,1.3210501193317425,2.69,3.15,3.0889260143198096,2.44
2012,Portugal,1.4638663484486876,2.0451073985680193,2.6155847255369933,3.422863961813843,2.077398568019093
2012,Romania,1.2415274463007162,2.32,2.77,3.06,2.10
2012,Slovenia,1.76,2.23,2.40,3.8858233890214806,2.52
2012,Slovakia,2.51,2.52,3.97,3.01,2.0958233890214797
2012,Finland,2.70,2.4532219570405727,3.137541766109786,4.1059188544152745,2.4919570405727924
2012,Sweden,1.9491169451073989,2.723031026252983,3.4826133651551316,4.557494033412888,2.7660262529832935
2012,United Kingdom,1.7624821002386635,2.4622911694510736,3.1491408114558475,4.12109785202864,2.5011694510739857
2012,Iceland,2.423007159904535,3.385083532219571,4.329343675417662,5.665560859188545,3.438532219570406
2012,Norway,2.71,4.47,4.98,4.811742243436754,1.12
2012,Switzerland,1.8712171837708833,2.614200477326969,3.343424821002387,4.375346062052506,2.655477326968974
2012,Montenegro,1.397326968973747,1.9521479713603815,2.4966945107398573,3.26727923627685,1.9829713603818613
2012,North Macedonia,1.2155608591885445,1.6982100238663485,2.1719212410501196,2.8422673031026258,1.725023866348449
2012,Albania,1.5904534606205252,2.2219570405727924,2.841766109785203,3.7188544152744636,2.257040572792363
2012,Serbia,1.3681145584725538,1.9113365155131263,2.444498806682578,3.198973747016707,1.9415155131264916
