Name,BUURTCODE,Household_size,Food,Green_electricity,nongreen_electricity,Gas,Energy,Water,Car,Train,bustram,Public Transport,Mobility,GWP clothes,GWP household cleaning,GWP footwear,GWP_furniture,GWP_paper,GWP personal care,BoP,Waste per capita,Waste per house,Total per capita
Moerwijk-Zuid,39,1.9,1072.297706,8.352053047,217.7728394,125.2187217,351.3436141,5.587669997,2466.111546,91.10946478,61.82130273,152.9307675,2619.042314,160.16213,54.50324437,4.938831611,116.4157216,35.35926327,73.83857604,445.2177669,800.0012909,1520.002453,5293.490362
Morgenstond-Oost,89,1.7,1078.386725,8.891910303,252.1492186,144.2421583,405.2832872,6.190560603,2557.000507,91.04259666,60.797848,151.8404447,2708.840952,193.4240851,54.09115481,6.032406597,141.3386202,35.84180462,73.8286176,504.5566889,960.9679402,1633.645498,5664.226154
Morgenstond-West,88,2.1,1067.261459,9.421489078,260.2452341,101.4655179,371.1322411,5.341400982,2450.432532,91.58465499,61.73962009,153.3242751,2603.756807,173.9444671,61.1461822,5.15533221,233.0964031,34.03688217,71.49023528,578.8695021,887.4262154,1863.595052,5513.787626
Morgenstond-Zuid,80,1.9,1072.464983,8.677800185,234.202587,141.2202226,384.1006098,5.63351128,2538.768875,90.54042449,60.50066898,151.0410935,2689.809968,167.8815429,53.68505729,5.779131982,123.3425817,37.35839848,73.84089851,461.8876109,858.6980938,1631.526378,5472.594777
Morgenweide,112,2.6,1040.065441,10.44692928,303.1553263,0,313.6022556,4.836001838,2426.210359,90.28985941,61.16541989,151.4552793,2577.665638,172.6087313,42.93078274,4.849068793,256.1919453,53.31726986,66.345115,596.242913,596.6306073,1551.239579,5129.042857
Nassaubuurt,48,2.2,1020.132928,10.90008371,443.4487615,258.8086154,713.1574606,6.582933135,2403.843008,91.27289647,61.25564969,152.5285462,2556.371554,177.2948514,57.73344646,6.374992156,258.1708254,51.93078584,73.43086767,624.9357689,619.3536752,1362.578085,5540.53432
Nieuw Waldeck,40,2.1,1063.106447,9.376880186,300.4782434,143.7378918,453.5930154,5.414402881,2441.346903,92.77346561,62.40043549,155.1739011,2596.520804,201.5092392,60.03599359,5.881833205,185.2459437,40.73750446,52.33256915,545.7430833,698.7735207,1467.424393,5363.151273
Noordpolderbuurt,26,2,1075.372284,9.384762866,246.1192252,146.5258958,402.0298839,5.288131131,2499.349262,94.57377793,65.24463679,159.8184147,2659.167677,187.0345555,47.14634681,6.105598345,114.0740483,36.86013939,74.94881357,466.1695019,910.4607607,1820.921521,5518.488239
Ockenburgh,90,2.2,1055.590217,12.36245175,461.814815,231.8920252,706.0692919,4.846524144,2469.789864,95.49204865,66.42240975,161.9144584,2631.704322,210.7209962,42.53987835,7.934686075,242.954669,61.68155659,75.40694739,641.2387336,640.2710806,1408.596377,5679.720169
Oostbroek-Noord,31,2,1076.631559,9.32277789,244.4966415,167.30952,421.1289394,5.410596755,2598.793986,91.75261516,61.69453636,153.4471515,2752.241138,191.9923165,47.66358452,5.939254302,144.2617959,35.00014861,72.91976928,497.7768691,921.1278738,1842.255748,5674.316976
Oostbroek-Zuid,35,2.1,1071.108141,9.585213524,245.7376008,167.8316872,423.1545015,5.252976186,2530.026386,92.40663943,62.81461485,155.2212543,2685.24764,162.7176818,49.20162815,5.593160618,128.955838,37.10285191,73.5095277,457.0806882,867.2374947,1821.198739,5509.081442
Oud Scheveningen,1,1.8,1073.554531,9.797364727,329.6853576,174.0894247,513.572147,6.451428068,2632.189107,90.84564204,59.75995193,150.605594,2782.794701,200.6630426,52.12959863,6.495189608,233.7659068,49.28840512,65.92938064,608.2715234,669.6753244,1205.415584,5654.319655
Parkbuurt oosteinde,103,2.8,1066.352223,11.41655336,361.7999885,119.7205079,492.9370498,4.765875178,2475.284102,91.68950047,62.69907447,154.3885749,2629.672677,200.0670935,38.72271752,5.735277975,259.6039561,57.81252342,79.01390322,640.9554717,618.1084694,1730.703714,5452.791766
Rietbuurt,121,3,1032.247542,9.763858603,273.9792902,98.79738657,382.5405354,4.365162016,2319.34236,85.53680912,57.30156568,142.8383748,2462.180735,172.2023299,51.70239653,4.990746878,262.4994681,54.51575462,74.18720164,620.0978977,538.6058681,1615.817604,5040.03774
Rijslag,72,1.8,1061.058424,12.14036008,424.0777146,219.1315776,655.3496523,6.753947142,2439.879408,95.26146514,64.6707292,159.9321943,2599.811602,207.80941,57.28198753,5.991154546,245.1377124,56.98681233,74.35737587,647.5644527,643.5866751,1158.456015,5614.124753
Rivierenbuurt-Noord,63,1.8,1076.733158,10.50721643,326.9511553,104.0849539,441.5433256,6.413325648,2627.109532,93.98694957,63.74248364,157.7294332,2784.838965,193.6776178,48.2671599,6.522041668,256.8728074,34.04114495,64.23017959,603.6109513,685.6764114,1234.21754,5598.816137
Rivierenbuurt-Zuid,62,1.4,1088.273565,13.49504363,401.6140709,255.0817412,670.1908557,7.436321888,2688.921301,101.954331,71.87727103,173.831602,2862.752903,200.6853334,50.48991601,6.541516761,136.4987003,49.12466358,72.34270546,515.6828355,787.9745875,1103.164422,5932.311069
Rond de Energiecentrale,10,1.8,1063.838764,9.544741448,327.9400742,131.8961276,469.3809432,6.21567692,2644.723741,93.41881898,62.69462975,156.1134487,2800.83719,193.820913,47.06635579,8.024899942,236.3941608,46.65978367,61.88795428,593.8540675,654.7377019,1178.527863,5588.864344
Rosenburg,82,1.7,1073.987497,8.71661973,330.959203,155.2556701,494.9314928,6.070761618,2454.78612,95.10342443,63.5577062,158.6611306,2613.447251,203.5094707,58.56652562,6.527625036,230.2803177,49.46201058,54.98614124,603.3320909,707.1696654,1202.188431,5498.938759
Rustenburg,30,2,1078.934936,9.545533753,263.5670403,157.8724852,430.9850593,5.611106427,2582.836858,91.48115076,61.31863067,152.7997814,2735.636639,192.5665295,52.80138146,5.961268926,162.0860107,35.00680052,73.01932373,521.4413148,941.3938199,1882.78764,5714.002875
Scheveningen Badplaats,3,1.8,1069.210158,10.73551549,355.2226116,201.1956215,567.1537486,6.635782947,2579.257168,92.37657212,61.67217132,154.0487434,2733.305911,200.0334076,52.76948938,6.453424719,230.4892459,49.21243946,62.96546701,601.9234741,672.446108,1210.402994,5650.675183
Schildersbuurt-Noord,16,2.3,1057.370555,8.534620197,217.285617,111.1915193,337.0117565,4.66570861,2398.402856,93.20897629,64.05235493,157.2613312,2555.664187,163.9378376,48.81446606,6.348110099,157.5918561,42.30928073,76.76089432,495.7624449,872.7229341,2007.262748,5323.197586
Schildersbuurt-Oost,17,2.5,1055.795427,7.975635355,199.7169902,104.5031535,312.1957791,4.223782746,2372.674831,94.07915411,65.18124316,159.2603973,2531.935228,163.91061,49.48559379,6.345010936,155.6381275,42.01965576,76.70420051,494.1031985,792.5422928,1981.355732,5190.795708
Schildersbuurt-West,15,2.4,1060.304333,8.621775388,216.1884659,121.440904,346.2511453,4.533680839,2423.89218,93.68326401,64.61163573,158.2948997,2582.18708,156.9147661,43.22800776,6.294500852,126.9639737,42.6134644,78.19502916,454.209742,847.8631868,2034.871648,5295.349168
Singels,113,2.7,1046.167413,10.84302998,327.9583594,60.71972832,399.5211177,4.75280345,2452.831729,91.32262172,62.04841806,153.3710398,2606.202769,166.7677411,47.05935934,4.783372963,254.041192,56.85116076,65.07182513,594.5746513,589.2495149,1590.97369,5240.468269
Spoorwijk,23,2.4,1060.731403,10.74992677,273.0888426,72.33270968,356.1714791,4.627064923,2433.831473,91.46710799,62.32220151,153.7893095,2587.620783,162.959967,45.92545697,4.75444044,157.7431134,38.47564561,74.5301486,484.388772,827.4532071,1985.887697,5320.992709
Stadhoudersplantsoen,42,1.7,1029.590334,9.59060472,403.483365,199.3337959,612.4077656,7.064189967,2519.767442,91.99819669,61.0433326,153.0415293,2672.808971,202.2680235,60.27354192,6.600554781,240.6824767,51.02728433,69.10285081,629.954732,675.452004,1148.268407,5627.277997
Statenkwartier,7,2.1,1031.014783,10.42648516,395.3780217,225.3414051,631.145912,6.277384999,2420.655277,91.97091846,62.0334702,154.0043887,2574.659666,183.4206244,60.6591857,7.093825858,241.5930476,52.22397859,71.35879508,616.3494572,642.3280434,1348.888891,5501.775247
Sweelinckplein en omgeving,43,1.9,1031.3073,10.85599896,433.1606392,222.545852,666.5624902,6.500931912,2569.547179,91.29212147,60.86019724,152.1523187,2721.699498,206.3103164,61.19129007,6.620493241,220.5278961,48.48733155,66.93340262,610.07073,616.8849663,1172.081436,5653.025916
Transvaalkwartier-Midden,33,2.3,1075.927345,8.938378725,228.2273705,112.7122558,349.878005,4.510340904,2380.50398,91.45507782,62.37522547,153.8303033,2534.334283,158.3081885,55.25145915,6.395236801,115.482075,37.1124741,74.48895131,447.0383849,848.1877382,1950.831798,5259.876097
Transvaalkwartier-Noord,32,2.1,1080.489777,8.877693697,220.6747983,129.6451813,359.1976733,5.005234162,2458.077997,93.79611792,64.24810069,158.0442186,2616.122216,164.74702,54.01416734,6.83060597,110.5296381,40.57963258,77.72156496,454.422629,804.0040083,1688.408418,5319.241538
Transvaalkwartier-Zuid,34,2.4,1082.724723,8.752916125,218.0326053,124.7876268,351.5731482,4.375656865,2441.327234,92.5420759,63.59890944,156.1409853,2597.468219,154.4708373,51.17827632,6.254529614,114.4342,39.70192915,75.18361792,441.2233903,808.2601431,1939.824344,5285.625281
Uilebomen,13,1.7,1075.754565,10.74291462,360.5010976,59.91533332,431.1593455,6.82120931,2746.641613,90.86420248,59.54812568,150.4123282,2897.053941,198.2102858,49.40987008,6.845307903,245.0723042,56.29355179,66.29677246,622.1280922,710.1878199,1207.319294,5743.104973
Uilennest,75,1.8,1030.40242,10.99443075,469.2221893,219.4692381,699.6858582,7.031068231,2449.912399,92.12958107,60.93391478,153.0634959,2602.975895,201.2230494,58.2097026,7.183060291,250.683709,50.98231061,72.54322895,640.8250609,639.9644046,1151.935928,5620.884707
Valkenboskwartier,55,1.8,1067.407822,10.44113225,321.940577,198.4069226,530.7886319,6.073243636,2628.961872,92.49528415,61.89683965,154.3921238,2783.353996,191.2146658,56.50328347,6.548864896,238.0764858,31.05167682,55.33783884,578.7328156,667.3647683,1201.256583,5633.721277
Van Hoytemastraat en omgeving,79,2.3,1017.784079,10.24542924,399.2515808,221.8447458,631.3417558,5.908985441,2415.920299,89.17181097,59.38393564,148.5557466,2564.476046,176.5868721,58.53355545,6.011906866,258.478797,52.91823181,72.40327195,624.9326352,616.9823688,1419.059448,5461.42587
Van Stolkpark en Scheveningse Bosjes,5,2,1035.348517,9.519222658,443.2259947,241.055421,693.8006384,6.186448591,2320.484861,95.05409236,64.66851579,159.7226082,2480.207469,204.0676328,62.70688285,7.115272835,231.9445429,50.56164137,71.18656964,627.5825424,676.789086,1353.578172,5519.914701
"Venen, Oorden en Raden",87,2.1,1065.95747,8.601612901,228.9838182,141.3868375,378.9722686,5.037400962,2405.116981,91.74862451,62.37739938,154.1260239,2559.243005,169.0830361,61.92067113,4.629324827,117.4970216,37.01573636,73.54221803,463.688008,834.0553089,1751.516149,5306.953461
Visserijbuurt,4,1.9,1059.590445,10.21737815,346.5051695,197.5562694,554.278817,6.274742858,2461.276466,93.30010953,62.65597531,155.9560848,2617.232551,200.3821143,58.02422611,6.441366075,249.6845725,48.88987716,59.45870067,622.8808568,610.7463016,1160.417973,5471.003714
Vissershaven,2,1.9,1059.992508,9.516404888,326.7882647,143.1667416,479.4714112,5.85507883,2474.92064,91.61194955,61.08731663,152.6992662,2627.619906,205.4596277,63.56439129,5.911515622,221.5096347,36.36447916,52.75113892,585.5607874,609.6438708,1158.323355,5368.143562
Vlietzoom-Oost,116,2.2,1034.118945,15.50359758,646.3935905,313.5492,975.4463881,5.960898568,2679.42603,103.0268111,71.22471114,174.2515222,2853.677552,208.6597411,42.36758043,6.591338678,245.099209,61.79365044,76.48849442,641.0000141,658.1211972,1447.866634,6168.324995
Vlietzoom-West,106,2,1010.901016,14.56296352,560.980213,280.376,855.9191765,6.316421343,2446.169606,89.49999983,60.77314112,150.273141,2596.442747,207.0801832,50.27358564,6.273286569,241.6431755,56.18355242,74.61327448,636.0670578,715.0974589,1430.194918,5820.743878
Vogelwijk,9,2.6,1042.59084,10.92439523,431.9256318,232.3823327,675.2323597,5.330574861,2296.304089,91.41481955,62.16135234,153.5761719,2449.880261,179.7389205,59.79860021,6.525057731,240.1810058,56.38369247,71.19540053,613.8226772,568.8557653,1479.02499,5355.712478
Voorhout,12,1.4,1090.301387,13.34522114,466.5052049,201.5458514,681.3962774,8.778005662,2785.150209,96.28500674,64.74179307,161.0267998,2946.177009,206.3941389,45.28528326,7.073022135,252.486802,57.98211579,72.96005594,642.181418,862.3709241,1207.319294,6231.205021
