"TIME","GEO","NA_ITEM","PPP_CAT","Value","Flag and Footnotes"
"2012","France","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","109.3",""
"2012","Croatia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","73.0",""
"2012","Italy","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","112.0",""
"2012","Cyprus","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.2",""
"2012","Latvia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","78.3",""
"2012","Lithuania","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","69.9",""
"2012","Luxembourg","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","108.3",""
"2012","Hungary","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","61.7",""
"2012","Malta","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","101.3",""
"2012","Netherlands","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","98.7",""
"2012","Austria","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.9",""
"2012","Poland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","58.3",""
"2012","Portugal","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","94.7",""
"2012","Romania","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","61.6",""
"2012","Slovenia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","85.2",""
"2012","Slovakia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","76.7",""
"2012","Finland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","105.0",""
"2012","Sweden","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","111.4",""
"2012","United Kingdom","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","121.4",""
"2012","Iceland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","117.5",""
"2012","Norway","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","112.6",""
"2012","Switzerland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.7",""
"2012","Candidate and potential candidate countries except Turkey and Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","62.1",""
"2012","Montenegro","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","59.5",""
"2012","North Macedonia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","57.7",""
"2012","Albania","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","69.3",""
"2012","Serbia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","63.8",""
"2012","Turkey","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","65.6",""
"2012","Bosnia and Herzegovina","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","56.1",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings",":",""
"2012","United States","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings",":",""
"2012","Japan","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings",":",""
"2013","European Union - 27 countries (from 2020)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","98.1",""
"2013","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.0",""
"2013","European Union - 27 countries (2007-2013)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.1",""
"2013","European Union - 25 countries (2004-2006)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.6",""
"2013","European Union - 15 countries (1995-2004)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.0",""
"2013","Euro area - 19 countries  (from 2015)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.2",""
"2013","Euro area - 18 countries (2014)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.4",""
