TIME,GEO,"Double bed frame, pressboard (1 piece)",Sofa set (1 set),Kitchen table (1 piece) ,Pocket spring mattress (1 piece) ,Wardrobe (1 piece) ,Armchair (1 piece) 
2012,Slovenia,410.98,937.9439018,233.7,231.22,183.9878308,164.4056917
2012,Slovakia,287.46,783.49,114.94,213.33,145.77,167.95
2012,Finland,534.6978172,1155.91678,162.6712142,298.2830832,226.7455662,202.6126482
2012,Sweden,567.2889222,1226.37266,172.586412,316.4641473,240.5662483,214.9623715
2012,United Kingdom,618.2125239,1336.459973,188.0789086,344.87206,262.1610641,234.2588142
2012,Iceland,598.3523192,1293.525921,182.0368349,333.7929741,253.7390859,226.7332016
2012,Norway,573.3997544,1239.583138,174.4455116,319.8730969,243.1576262,217.2779447
2012,Switzerland,528.077749,1141.60543,160.6571896,294.5900546,223.9382401,200.1041107
2012,Montenegro,302.9954297,655.0195089,92.18035471,169.0270805,128.4891542,114.813834
2012,North Macedonia,293.8291814,635.2037926,89.39170532,163.9136562,124.6020873,111.3404743
2012,Albania,352.9005593,762.905075,107.3630014,196.8668349,149.6520737,133.7243478
2012,Serbia,324.8925784,702.3570532,98.84212824,181.2424829,137.774925,123.1113043
2012,Turkey,204.48,1 360.55,101.6307776,126.2,141.6619918,126.584664
2012,Bosnia and Herzegovina,285.6814052,617.5898226,86.91290587,159.3683902,121.1469168,108.2530435
2012,Kosovo (under United Nations Security Council Resolution 1244/99),509.2360164,1100.873124,154.9249659,284.0791269,215.9481583,192.9644269
2013,European Union - 27 countries (from 2020),496.1759756,1072.639756,150.9517073,276.7935366,210.409878,181.9275214
2013,European Union - 28 countries (2013-2020),505.7859079,1093.414634,153.8753388,282.1544715,214.4850949,185.4510921
2013,European Union - 15 countries (1995-2004),520.9594851,1126.217073,158.4915989,290.6191057,220.9196477,191.0146249
2013,Euro area - 19 countries  (from 2015),506.7974797,1095.601463,154.1830894,282.7187805,214.914065,185.8219943
2013,Euro area - 12 countries (2001-2006),509.3264092,1101.068537,154.9524661,284.1295528,215.9864905,186.7492498
2013,Belgium,560.9165718,1212.596829,170.6477507,312.9093089,237.8639702,205.6652612
2013,Bulgaria,268.0665312,579.5097561,81.55392954,149.5418699,113.6771003,98.28907882
2013,Czechia,373.27,806.94,113.56,208.23,158.29,136.862906
2013,Denmark,542.2024932,1172.140488,164.9543631,302.4695935,229.9280217,198.8035708
2013,Germany (until 1990 former territory of the FRG),476.4503252,1029.996585,144.9505691,265.7895122,202.0449593,174.6949288
2013,Estonia,450.6552439,974.232439,137.1029268,251.3996341,191.1062195,165.2369231
2013,Ireland,539.6735637,1166.673415,164.1849864,301.0588211,228.8555962,197.8763153
2013,Greece,526.5231301,1138.244634,160.1842276,293.7228049,223.2789837,193.0545869
2013,Spain,530.0636314,1145.898537,161.261355,295.6978862,224.7803794,194.3527445
2013,France,479.9908266,1037.650488,146.0276965,267.7645935,203.546355,175.9930864
2013,Croatia,267.12,858.3304878,188.36,116.01,270,145.5791073
2013,Italy,571.03229,1234.465122,173.7252575,318.5523984,242.1536721,209.374283
2013,Cyprus,199.75,575.65,143.9,329.65,156.67,195.28
2013,Latvia,423.3428049,915.1880488,128.7936585,236.1632927,179.5240244,155.2225641
2013,Lithuania,228.77,827.28,89.66,184.91,151.2,150.06
2013,Luxembourg,590.7579404,1277.108293,179.7263957,329.5564228,250.5185908,216.6068756
2013,Hungary,325.7261247,704.1590244,99.09571816,181.7074797,138.1284011,119.4305033
2013,Malta,365.58,1 058.89,269.79,160.33,302.89,185.97
2013,Netherlands,390.04,1 508.44,173.8791328,318.8345528,430.08,370.38
2013,Austria,514.8900542,1113.096098,156.6450949,287.233252,218.3458266,188.7892118
2013,Poland,335.8418428,524.38,76.29,187.3505691,142.418103,127.31
2013,Portugal,489.0949729,1057.331951,148.7974526,272.843374,207.4070867,179.3312061
2013,Romania,349.4980623,607.85,62.29,194.9687398,152.78,126.46
2013,Slovenia,410.98,884.572439,233.7,231.22,173.5184417,150.0299335
2013,Slovakia,287.46,783.49,114.94,213.33,145.77,167.95
2013,Finland,526.5231301,1138.244634,160.1842276,293.7228049,223.2789837,193.0545869
2013,Sweden,606.9430894,1312.097561,184.6504065,338.5853659,257.3821138,222.5413105
2013,United Kingdom,566.9860027,1225.717805,172.4942547,316.2951626,240.4377913,207.8906743
2013,Iceland,584.6885095,1263.987317,177.8798916,326.1705691,247.9447696,214.3814625
2013,Norway,567.4917886,1226.81122,172.6481301,316.5773171,240.6522764,208.0761254
2013,Switzerland,475.4387534,1027.809756,144.6428184,265.2252033,201.6159892,174.3240266
2013,Montenegro,338.3707724,731.4943902,102.9426016,188.7613415,143.4905285,124.0667806
2013,North Macedonia,313.081477,676.8236585,95.24883469,174.6536179,132.7662737,114.794226
2013,Albania,279.699607,604.6582927,85.09306233,156.0314228,118.6102575,102.5544539
2013,Serbia,359.1079946,776.3243902,109.2514905,200.3296748,152.2844173,131.6702754
2013,Turkey,204.48,1 360.55,107.5588618,126.2,149.9250813,129.6303134
2013,Bosnia and Herzegovina,295.3789702,638.5541463,89.86319783,164.7782114,125.2592954,108.3034378
2013,Kosovo (under United Nations Security Council Resolution 1244/99),317.6335501,686.6643902,96.63371274,177.1930081,134.6966396,116.4632858
2014,European Union - 27 countries (from 2020),526.0452395,1137.211524,160.0388389,293.4562119,223.076328,190.1874423
2014,European Union - 28 countries (2013-2020),541.7561684,1171.175617,164.8185776,302.2206096,229.7387518,195.8676028
2014,European Union - 15 countries (1995-2004),559.0923657,1208.653237,170.0927721,311.8916691,237.0903919,202.1353661
2014,Euro area - 19 countries  (from 2015),539.5891437,1166.490914,164.1593033,301.0117271,228.8197968,195.0841324
2014,Euro area - 12 countries (2001-2006),542.2979245,1172.346792,164.9833962,302.5228302,229.9684906,196.0634704
2014,Belgium,601.3493469,1300.004935,182.9486212,335.4648766,255.0100145,217.4130391
2014,Bulgaria,279.0044267,603.1554427,84.88156749,155.6436139,118.3154572,100.8718154
2014,Czechia,373.27,806.94,113.56,208.23,158.29,134.9527783
2014,Denmark,566.1351959,1223.87852,172.2354136,315.820537,240.0769956,204.6816449
2014,Germany (until 1990 former territory of the FRG),505.4585051,1092.706851,153.7757329,281.9718287,214.3462554,182.7444734
2014,Estonia,481.6212337,1041.175123,146.5237155,268.6741219,204.2377504,174.1262989
2014,Ireland,547.7154862,1184.058549,166.631582,305.5450363,232.2658781,198.0221464
2014,Greece,541.2144122,1170.004441,164.6537591,301.918389,229.5090131,195.6717352
2014,Spain,556.9253411,1203.968534,169.4334978,310.6827866,236.1714369,201.3518957
2014,France,511.4178229,1105.589782,155.5887373,285.2962554,216.8733817,184.8990171
2014,Croatia,267.12,886.5799419,188.36,116.01,270,148.2717753
2014,Italy,608.9339332,1316.401393,185.2560813,339.6959652,258.226357,220.1551856
2014,Cyprus,199.75,575.65,143.9,329.65,156.67,195.28
2014,Latvia,450.1993759,973.2469376,136.964238,251.1453266,190.9129028,162.7659779
2014,Lithuania,228.77,827.28,89.66,184.91,151.2,150.06
2014,Luxembourg,637.6470102,1378.473701,193.9914659,355.7136575,270.4025109,230.5361685
2014,Hungary,332.6382874,719.1018287,101.1986067,185.5634543,141.0595936,120.2627081
2014,Malta,365.58,1 058.89,269.79,160.33,302.89,185.97
2014,Netherlands,390.04,1 508.44,186.9042671,342.7181713,430.08,370.38
2014,Austria,566.6769521,1225.049695,172.4002322,316.1227576,240.3067344,204.8775125
2014,Poland,355.3920464,524.38,76.29,198.2567199,150.7086212,127.31
2014,Portugal,511.9595791,1106.760958,155.7535559,285.5984761,217.1031205,185.0948847
2014,Romania,374.8952685,607.85,62.29,209.1366618,152.78,126.46
2014,Slovenia,410.98,921.7152104,233.7,231.22,180.8043977,154.1478034
2014,Slovakia,287.46,783.49,114.94,213.33,145.77,167.95
2014,Finland,558.5506096,1207.482061,169.9279536,311.5894485,236.8606531,201.9394985
